"name","genres","director","actor1","actor2","actor3","color","plotkey","language","year","score"
"Son of the Mask ","Comedy|Family|Fantasy","Lawrence Guterman","Jamie Kennedy","Traylor Howard","Ben Stein","Color","baby|cartoon on tv|cartoonist|dog|mask","English",2005,2.2
"Snow White: A Deadly Summer ","Horror","David DeCoteau","Maureen McCormick","Shanley Caswell","Tim Abell","Color","reference to snow white|sleeping bag|stepmother stepdaughter relationship|strangulation|totem pole","English",2012,2.2
"Subconscious ","Action|Mystery|Thriller","Georgia Hilton","Mike Beckingham","Tim Abell","Tom Stedham","Color","military|submarine|suspense|time travel|world war two","English",2015,2.2
"Epic Movie ","Adventure|Comedy","Jason Friedberg","David Carradine","Carmen Electra","Fred Willard","Color","chocolate|chocolate factory|factory|orphan|student","English",2007,2.3
"Alone in the Dark ","Horror|Sci-Fi","Uwe Boll","Catherine Lough Haggquist","Darren Shahlavi","Karin Konoval","Color","artifact|creature|darkness|demon|museum","English",2005,2.3
"Chairman of the Board ","Comedy","Alex Zamm","Taylor Negron","Raquel Welch","Larry Miller","Color","box office flop|company|invention|roommate|surfer","English",1998,2.3
"Battlefield Earth ","Action|Adventure|Sci-Fi","Roger Christian","Richard Tyson","Michael Byrne","John Topor","Color","alien|bad acting|pulp fiction|resistance fighter|voyager golden record","English",2000,2.4
"Gigli ","Comedy|Crime|Romance","Martin Brest","Todd Giebenhain","Lenny Venito","David Backus","Color","gangster|hospital|lesbian|mob|thug","English",2003,2.4
"Baby Geniuses ","Comedy|Crime|Family|Sci-Fi","Bob Clark","Kathleen Turner","Dom DeLuise","Ruby Dee","Color","baby|boy|science|scientist|toddler","English",1999,2.5
"Sunday School Musical ","Drama|Musical","Rachel Goldenberg","Dustin Fitzsimons","Mark Hengst","Debra Lynn Hull","Color","church|competition|high school|new school|pastor","English",2008,2.5
"30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo ","Comedy","Craig Moss","French Stewart","Ashley Martin","Olivia Alexander","Color","exorcism|female nudity|haunted house|lesbian kiss|masturbation","English",2013,2.6
"The Vatican Exorcisms ","Horror","Joe Marino","Piero Maggiò","Anella Vastola","Joe Marino","Color","","English",2013,2.6
"Inchon ","Drama|History|War","Terence Young","Laurence Olivier","Ben Gazzara","Jacqueline Bisset","Color","1950s|douglas macarthur|general|inchon|invasion","English",1981,2.7
"Meet the Spartans ","Comedy","Jason Friedberg","Carmen Electra","Diedrich Bader","Method Man","Color","king|persian|spartan|training|xerxes","English",2008,2.7
"Dragonball: Evolution ","Action|Adventure|Fantasy|Sci-Fi|Thriller","James Wong","Ian Whyte","Texas Battle","Randall Duk Kim","Color","bad|dragon|grandfather|orb|warrior","English",2009,2.7
"Date Movie ","Comedy|Romance","Aaron Seltzer","Alyson Hannigan","Carmen Electra","Fred Willard","Color","female protagonist|greek|overweight|spoof|wedding planner","English",2006,2.7
"The Real Cancun ","Documentary","Rick de Oliveira","Laura Ramsey","Alan Taylor","Benjamin Fletcher","Color","cancun mexico|mexico|spring break|vacation|wisconsin","English",2003,2.7
"The 41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It ","Comedy","Craig Moss","Noureen DeWulf","Bryan Callen","Matt Crabtree","Color","masturbation|porn actor in mainstream movie|sex|spoof|virginity","English",2010,2.7
"Jaws: The Revenge ","Adventure|Horror|Thriller","Joseph Sargent","Judith Barsi","Mario Van Peebles","Lynn Whitfield","Color","banana boat|boat|christmas|sea|shark","English",1987,2.8
"Doogal ","Adventure|Animation|Comedy|Family|Fantasy","Dave Borthwick","Jimmy Fallon","Kylie Minogue","Jon Stewart","Color","diamond|lava|magic|mountain|sorcerer","English",2006,2.8
"Marci X ","Comedy|Music","Richard Benjamin","Damon Wayans","Jane Krakowski","Paula Garcés","Color","female protagonist|hip hop|jewish american princess|rapper|record label","English",2003,2.8
"Steel ","Action|Crime|Sci-Fi","Kenneth Johnson","Charles Napier","Annabeth Gish","Hill Harper","Color","fight|gang|junkyard|military|soldier","English",1997,2.8
"Barney's Great Adventure ","Adventure|Family","Steve Gomer","Trevor Morgan","Kyla Pratt","Shirley Douglas","Color","apostrophe in title|critically bashed|hit on the head with a ball|punctuation in title|tyrannosaurus rex","English",1998,2.8
"Dancin' It's On ","Family|Musical","David Winters","Gary Daniels","Matt Marr","Ginger Jensen","Color","","English",2015,2.8
"Hum To Mohabbat Karega ","Action|Comedy|Romance|Thriller","Kundan Shah","Karisma Kapoor","Bobby Deol","Shakti Kapoor","Color","elevator|news reporter|police|restaurant|waiter","Hindi",2000,2.8
"Mutant World ","Sci-Fi","David Winning","Ashanti","Amber Marshall","John DeSantis","Color","","English",2014,2.8
"Frat Party ","Comedy","Robert Bennett","Randy Wayne","Lauren C. Mayhew","Alicia Ziegler","Color","erotica|masseuse|sister sister relationship|temptation|threesome","English",2009,2.8
"BloodRayne ","Action|Adventure|Fantasy|Horror","Uwe Boll","Meat Loaf","Udo Kier","Michael Paré","Color","escape|half human|king|vampire|vampire hunter","English",2005,2.9
"The True Story of Puss'N Boots ","Adventure|Animation|Comedy","Jérôme Deschamps","Yolande Moreau","André Wilms","Jérôme Deschamps","Color","cartoon cat|cat|character name in title|puss in boots|surrealism","English",2009,2.9
"The Bachelor             ","Game-Show|Reality-TV|Romance","","Chris Harrison","","","Color","bachelor|seeking love|single guy|tv host|women rivals for man","English",NA,2.9
"Daddy Day Camp ","Comedy|Family","Fred Savage","Lochlyn Munro","Brian Doyle-Murray","Tamala Jones","Color","competition|estranged father|skunk|summer camp|wall","English",2007,2.9
"Rollerball ","Action|Sci-Fi|Sport","John McTiernan","LL Cool J","Chris Klein","Andrew Bryniarski","Color","ball|blood|skating|song|year 2005","English",2002,3
"Shanghai Surprise ","Adventure|Crime|Drama|Romance","Jim Goddard","Victor Wong","Paul Freeman","Clyde Kusatsu","Color","china|missionary|opium|villain|year 1937","English",1986,3
"Phat Girlz ","Comedy","Nnegest Likké","Mo'Nique","Jimmy Jean-Louis","Joyful Drake","Color","female protagonist|size positive|thin|title directed by female|wet dream","English",2006,3
"The Dead Undead ","Action|Horror|Sci-Fi","Matthew R. Anderson","Johnny Pacar","Vernon Wells","Matthew R. Anderson","Color","flashback|immortality|rural setting|vampire|zombie","English",2010,3
"The Ridges ","Drama|Horror|Thriller","Brandon Landers","Robbie Barnes","Alana Kaniewski","Brandon Landers","","avatar|college|death|tron|university","English",2011,3
"Left Behind ","Action|Drama|Fantasy|Mystery|Thriller","Vic Armstrong","Nicolas Cage","Lea Thompson","Quinton Aaron","Color","bible quote|chaos|faith|riot|shrine","English",2014,3.1
"Larry the Cable Guy: Health Inspector ","Comedy|Romance","Trent Cooper","Thomas F. Wilson","Larry the Cable Guy","Megyn Price","Color","diner|food poisoning|health inspector|restaurant|undercover","English",2006,3.1
"Left Behind ","Action|Drama|Fantasy|Mystery|Thriller","Vic Armstrong","Nicolas Cage","Lea Thompson","Quinton Aaron","Color","bible quote|chaos|faith|riot|shrine","English",2014,3.1
"Witless Protection ","Comedy|Crime","Charles Robert Carner","Ivana Milicevic","Jenny McCarthy","Richard Bull","Color","fbi|polo|possum|sheriff|shotgun","English",2008,3.1
"Lords of London ","Crime|Mystery|Thriller","Antonio Simoncini","Ray Winstone","Joe Egan","Glen Murphy","Color","gang leader|italian woman|period piece|purgatory|suicide","English",2014,3.1
"Alien Uprising ","Comedy|Sci-Fi","Dominic Burns","Julian Glover","Sean Pertwee","Bianca Brigitte VanDamme","Color","acronym in title|period in title|title ends with period","English",2012,3.1
"Checkmate ","Action|Crime|Thriller","Timothy Woodward Jr.","Katrina Law","Johnny Messner","Michael Paré","Color","","English",2015,3.1
"Bled ","Horror","Christopher Hutson","Dichen Lachman","Jennifer Lee Wiggins","Michele Morrow","Color","artist|blood|drug|tree sap|vampire","English",2009,3.1
"Legend of Kung Fu Rabbit ","Action|Adventure|Animation|Comedy|Family","Lijun Sun","Jon Heder","Tom Arnold","Rebecca Black","Color","anthropomorphic animal|china|furry|rabbit","Mandarin",2011,3.2
"Without Men ","Comedy","Gabriela Tagliavini","Maria Conchita Alonso","Kate del Castillo","Camryn Manheim","Color","bare chested male|journalist|passion|pregnancy|woman in underwear","English",2011,3.2
"Teen Wolf Too ","Comedy|Fantasy","Christopher Leitch","John Astin","Robert Neary","Kim Darby","Color","falling in love|glowing eyes|insult|teenager|three word title","English",1987,3.2
"Windsor Drive ","Mystery|Thriller","Natalie Bible'","Tommy O'Reilly","Samaire Armstrong","Matt Cohen","Color","","English",2015,3.2
"Royal Kill ","Action|Thriller","Babar Ahmed","Lalaine","Alexander Wraith","Darren Kendrick","Color","assassin|female assassin|kingdom|martial arts|mission","English",2009,3.2
"Dude, Where's My Dog?! ","Family","Stephen Langford","Kevin P. Farley","Gabriela Castillo","Brandon Middleton","Color","","English",2014,3.2
"Raymond Did It ","Horror","Travis Legge","Elissa Dowling","Patricia Raven","Lindsay Felton","Color","blood|independent film|mutilation|violence","English",2011,3.2
"Catwoman ","Action|Crime|Fantasy|Romance|Thriller","Pitof","Frances Conroy","Christopher Heyerdahl","Alex Borstein","Color","based on cult comic book|bechdel test passed|cat|detective|radical transformation","English",2004,3.3
"Feardotcom ","Crime|Horror|Thriller","William Malone","Natascha McElhone","Jeffrey Combs","Udo Kier","Color","bondage gear|bound and gagged|hung by one's wrists|tied to a chair|tied to a table","English",2002,3.3
"Spice World ","Comedy|Family|Music","Bob Spiers","Jason Flemyng","Richard Briers","Victoria Beckham","Color","bus|concert|live concert|pop group|spice girl","English",1997,3.3
"How She Move ","Drama","Ian Iqbal Rashid","DeRay Davis","Clé Bennett","Conrad Coates","Color","dance|dance contest|loss of sister|step dancing|teenager","English",2007,3.3
"The Master of Disguise ","Comedy|Family","Perry Andelin Blake","Jennifer Esposito","Kenan Thompson","James Brolin","Color","disguise|mask|master of disguise|restaurant|waiter","English",2002,3.3
"Crossroads ","Comedy|Drama","Tamra Davis","Britney Spears","Katherine Boecher","Dave Allen","Color","audition|friendship|graduation|high school graduation|love","English",2002,3.3
"Bucky Larson: Born to Be a Star ","Comedy","Tom Brady","Don Johnson","Kevin Nealon","Nicholas Turturro","Color","diner|eating a banana|masturbation|porn star|shooting a pornographic movie","English",2011,3.3
"Police Academy: Mission to Moscow ","Comedy|Crime","Alan Metter","Christopher Lee","Michael Winslow","G.W. Bailey","Color","captain|commandant|mafia|russian mafia|security system","English",1994,3.3
"Fascination ","Mystery|Romance|Thriller","Klaus Menzel","Adam Garcia","Jacqueline Bisset","Alice Evans","Color","death|love|marriage|secret|suspicion","English",2004,3.3
"Sharknado ","Horror","Anthony C. Ferrante","Ian Ziering","John Heard","Cassandra Scerbo","Color","cult film|hurricane|school bus|shark|shark feature","English",2013,3.3
"In the Name of the King: The Last Job ","Action|Adventure|Fantasy|Thriller","Uwe Boll","Bashar Rahal","Shelly Varod","Ralitsa Paskaleva","Color","castle|dragon|kidnapping|satire|sword and sorcery","English",2014,3.3
"My Big Fat Independent Movie ","Comedy","Philip Zlotorynski","Neil Hopkins","Darren Keefe Reiher","David Douglas","Color","independent film|spoof","English",2005,3.3
"The Book of Mormon Movie, Volume 1: The Journey ","Adventure","Gary Rogers","Noah Danby","Kirby Heyborne","Bruce Newbold","Color","jerusalem|journey|promised land|ship|wilderness","English",2003,3.3
"#Horror ","Drama|Horror|Mystery|Thriller","Tara Subkoff","Timothy Hutton","Balthazar Getty","Lydia Hearst","Color","bullying|cyberbullying|girl|internet|throat slitting","English",2015,3.3
"Neal 'N' Nikki ","Comedy|Musical|Romance","Arjun Sablok","Abhishek Bachchan","Uday Chopra","Samantha McLeod","Color","interrupted sex|kiss|love|mistaken sex scene|sex in car","English",2005,3.3
"Crossroads ","Comedy|Drama","Tamra Davis","Britney Spears","Katherine Boecher","Dave Allen","Color","audition|friendship|graduation|high school graduation|love","English",2002,3.3
"Dry Spell ","Comedy|Romance","Travis Legge","Kristen Seavey","Suzi Lorraine","Travis Legge","Color","anti romantic comedy|dating|divorce|sex comedy|sex scene","English",2013,3.3
"Jack and Jill ","Comedy","Dennis Dugan","Al Pacino","Adam Sandler","Tim Meadows","Color","advertising|advertising executive|commercial|protective male|twins","English",2011,3.4
"Dumb and Dumberer: When Harry Met Lloyd ","Comedy","Troy Miller","Elden Henson","Mimi Rogers","Cheri Oteri","Color","1980s|buddy|high school|prequel to cult favorite|teenager","English",2003,3.4
"Standing Ovation ","Musical","Stewart Raffill","Kayla Jackson","Alexis Biesiada","Kayla Raparelli","Color","dance|dream|frog|philadelphia pennsylvania|snake","English",2010,3.4
"Galaxina ","Comedy|Sci-Fi","William Sachs","Stephen Macht","Avery Schreiber","Angelo Rossitto","Color","alien|android|fem bot|female android|stars","English",1980,3.4
"Navy Seals vs. Zombies ","Action|Horror","Stanton Barrett","Mikal Vega","Michael Dudikoff","Ed Quinn","Color","building|infection|navy seal|shot through the head|zombie","English",2015,3.4
"The Walking Deceased ","Comedy|Horror","Scott Dow","Trenton Rostedt","Wray Crawford","Dave Sheridan","Color","zombie|zombie spoof","English",2015,3.4
"Shark Lake ","Thriller","Jerry Dugan","Melissa Bolona","Michael Aaron Milligan","James Chalke","Color","blood|daughter|jail|police|shark","English",2015,3.4
"Independence Daysaster ","Action|Sci-Fi","W.D. Hogan","Tom Everett Scott","Keenan Tracey","Nicholas Carella","Color","fireworks|kiss|to be continued ending|uncle nephew relationship|usaf","English",2013,3.4
"God's Not Dead 2 ","Drama","Harold Cronk","Benjamin A. Onyango","Robin Givens","Maria Canals-Barrera","Color","alternate universe|christian|christian film|christianity|manipulation","English",2016,3.4
"Steppin: The Movie ","Comedy|Music","Michael Taliferro","Wesley Jonathan","Sticky Fingaz","Chrystee Pharris","Color","","English",2009,3.4
"Rotor DR1 ","Family|Sci-Fi","Chad Kapper","Tom E. Nicholson","Natalie Welch","Christian Kapper","Color","drone|playing with gun|post apocalypse|road trip|working class family","English",2015,3.4
"Hayride ","Crime|Drama|Horror","Terron R. Parsons","Richard Tyson","Jeremy Sande","Corlandos Scott","Color","","English",2012,3.4
"The Adventures of Sharkboy and Lavagirl 3-D ","Action|Adventure|Family|Fantasy","Robert Rodriguez","Taylor Lautner","Kristin Davis","Taylor Dooley","Color","boy|bully|dream|dream sequence|planet","English",2005,3.5
"Dance Flick ","Action|Comedy|Music","Damien Dante Wayans","Damon Wayans Jr.","Essence Atkins","Chris Elliott","Color","african american|dance|overalls|parody|rap","English",2009,3.5
"Meet the Browns             ","Comedy","","Lamman Rucker","David Mann","Denise Boutte","Color","african american|character name in title|family relationships|sitcom","English",NA,3.5
"Vampires Suck ","Comedy","Jason Friedberg","Diedrich Bader","Dave Foley","Anneliese van der Pol","Color","cat|friend|love|sheriff|teenager","English",2010,3.5
"Scary Movie 5 ","Comedy","Malcolm D. Lee","Marisa Saks","Snoop Dogg","Molly Shannon","Color","2010s|ape|ballet|psychic|supernatural","English",2013,3.5
"Megaforce ","Action|Sci-Fi","Hal Needham","Barry Bostwick","Michael Beck","Henry Silva","Color","dictator|electronic music score|one word title|secret headquarters|soldier","English",1982,3.5
"An Alan Smithee Film: Burn Hollywood Burn ","Comedy","Arthur Hiller","Eric Idle","Harvey Weinstein","Ryan O'Neal","Color","box office flop|critically bashed|director|hollywood|mockumentary","English",1997,3.5
"The Bold and the Beautiful             ","Drama|Romance","","Ronn Moss","Katherine Kelly Lang","Hunter Tylo","Color","beverly hills california|family relationships|los angeles california|soap opera","English",NA,3.5
"You Got Served ","Drama|Music","Chris Stokes","Jennifer Freeman","Marques Houston","Steve Harvey","Color","competition|dance contest|friend|money|street dancing","English",2004,3.5
"The Omega Code ","Action|Adventure|Fantasy|Sci-Fi|Thriller","Robert Marcarelli","George Coe","William Hootkins","Ayla Kell","Color","code|evil|false accusation|megalomaniac|torah","English",1999,3.5
"Fifty Shades of Black ","Comedy","Michael Tiddes","Fred Willard","Mike Epps","Russell Peters","Color","color in title|parody|reference to cuba gooding jr|reference to netflix|written by star","English",2016,3.5
"Chain of Command ","Action|Thriller","Kevin Carraway","Michael Jai White","Max Ryan","Jon Osbeck","Color","army|michael jai white|ohio|steve austin","English",2015,3.5
"N-Secure ","Crime|Drama|Thriller","David M. Matthews","Essence Atkins","Lamman Rucker","Tempestt Bledsoe","Color","betrayal|family relationships|insecurity|murder|passive aggression","English",2010,3.5
"Zombie Hunter ","Action|Comedy|Horror","K. King","Jason K. Wixom","Shona Kay","Jarrod Phillips","Color","desert|drifter|seduction|siege|zombie","English",2013,3.5
"Girls Gone Dead ","Comedy|Horror","Michael Hoffman Jr.","Vincent Chimato","John McGlothlin","Al Sapienza","Color","mini skirt|party|spring break|voyeur|war hammer","English",2012,3.5
"Ballistic: Ecks vs. Sever ","Action|Crime|Sci-Fi|Thriller","Wych Kaosayananda","Talisa Soto","Sandrine Holt","Gregg Henry","Color","blood splatter|camera shot from inside human body|combat|die hard scenario|fbi","English",2002,3.6
"The Flintstones in Viva Rock Vegas ","Comedy|Family|Romance|Sci-Fi","Brian Levant","Taylor Negron","Mark Addy","Danny Woodburn","Color","based on tv series|love|prequel|the flintstones|title appears in song","English",2000,3.6
"Dragon Wars: D-War ","Action|Drama|Fantasy|Horror|Thriller","Hyung-rae Shim","Robert Forster","Aimee Garcia","Chris Mulkey","Color","antique shop|asian dragon|dragon|korean|reporter","English",2007,3.6
"Spy Kids: All the Time in the World in 4D ","Action|Adventure|Comedy|Family|Sci-Fi","Robert Rodriguez","Alexa PenaVega","Joel McHale","Daryl Sabara","Color","2010s|3 dimensional|breath holding contest|child spy|spy","English",2011,3.6
"Thomas and the Magic Railroad ","Adventure|Comedy|Drama|Family|Fantasy","Britt Allcroft","Mara Wilson","Colm Feore","Peter Fonda","Color","locomotive|magic|mountain|railroad|steam locomotive","English",2000,3.6
"Superman IV: The Quest for Peace ","Action|Adventure|Family|Sci-Fi","Sidney J. Furie","Jim Broadbent","Margot Kidder","William Hootkins","Color","box office flop|dc comics|hair|nuclear disarmament|superman","English",1987,3.6
"The Cookout ","Comedy","Lance Rivera","Farrah Fawcett","Vincent Pastore","Jenifer Lewis","Color","flatulence|interracial marriage|marriage","English",2004,3.6
"Stan Helsing ","Comedy|Horror","Bo Zenga","Steve Howey","Kenan Thompson","Diora Baird","Color","dollar bill|double entendre|escaped convict|halloween|striptease","English",2009,3.6
"The Last Godfather ","Comedy","Hyung-rae Shim","Jason Mewes","Stephanie Danielson","Michael Rispoli","Color","mafia|mafia boss|mafiosi|mafioso|three word title","English",2010,3.6
"Swept Away ","Comedy|Romance","Guy Ritchie","Bruce Greenwood","Jeanne Tripplehorn","David Thornton","Color","island|sailor|storm|stranded|vacation","English",2002,3.6
"Bats ","Horror|Sci-Fi|Thriller","Louis Morneau","Leon","Bob Gunton","Ned Bellamy","Color","animal attack|bat|creature feature|experiment|mad scientist","English",1999,3.6
"Wind Walkers ","Action|Horror|Thriller","Russell Friedenberg","Rudy Youngblood","Glen Powell","Kiowa Gordon","Color","after dark horrorfest","English",2015,3.6
"Luminarias ","Comedy|Romance","José Luis Valenzuela","Cheech Marin","Lupe Ontiveros","Robert Beltran","Color","divorce|friend|jewish|lent|restaurant","English",2000,3.6
"Echo Dr. ","Action|Drama|Sci-Fi|Thriller","Patrick Ryan Sims","Claire Gordon-Harper","Hugh Mun","Johnathan Hurley","Color","android|artificial intelligence|home invasion|security system|tech noir","English",2013,3.6
"Batman & Robin ","Action","Joel Schumacher","Michael Gough","Vivica A. Fox","John Glover","Color","butler|critically bashed|cure|freeze|gotham","English",1997,3.7
"Speed 2: Cruise Control ","Action|Crime|Romance|Thriller","Jan de Bont","Jason Patric","Temuera Morrison","Lois Chiles","Color","collision course|computer|cruise|diamonds|ship run aground","English",1997,3.7
"Street Fighter: The Legend of Chun-Li ","Action|Crime|Drama|Mystery|Thriller","Andrzej Bartkowiak","Chris Klein","Robin Shou","Josie Ho","Color","chun li|crime fighter|gangster|mobster|rescue","English",2009,3.7
"Mortal Kombat: Annihilation ","Action|Adventure|Fantasy|Sci-Fi|Thriller","John R. Leonetti","Brian Thompson","Talisa Soto","Robin Shou","Color","alternate reality|battle|martial arts|mortal kombat|warrior","English",1997,3.7
"Beverly Hills Chihuahua ","Adventure|Comedy|Drama|Family|Romance","Raja Gosnell","Jamie Lee Curtis","Nick Zano","Ali Hillis","Color","chihuahua|german shepherd|mexico|potted plant|tijuana mexico","English",2008,3.7
"Exorcist II: The Heretic ","Horror","John Boorman","Linda Blair","Richard Burton","Ned Beatty","Color","demon|exorcism|locust|priest|repressed memory","English",1977,3.7
"Cabin Fever ","Horror","Travis Zariwny","Dustin Ingram","Gage Golightly","Samuel Davis","Color","female rear nudity|flesh eating virus|horror movie remake|remake|topless female nudity","English",2016,3.7
"The Lion of Judah ","Animation","Deryck Broom","Vic Mignogna","Omar Benson Miller","Anupam Kher","Color","animal|donkey|lamb|pig|rooster","English",2011,3.7
"Run, Hide, Die ","Horror|Thriller","Collin Joseph Neal","Julianne Gabert","Thomas Brophy","Ronee Collins","Color","","English",2012,3.7
"The Cat in the Hat ","Adventure|Comedy|Family|Fantasy","Bo Welch","Sean Hayes","Kelly Preston","Spencer Breslin","Color","based on cult comic book|cat|home alone|imagination|talking cat","English",2003,3.8
"The Adventures of Pluto Nash ","Action|Comedy|Sci-Fi","Ron Underwood","Rosario Dawson","Randy Quaid","Burt Young","Color","casino|future|laser gun|moon|nightclub","English",2002,3.8
"The Love Guru ","Comedy|Romance|Sport","Marco Schnabel","Justin Timberlake","Romany Malco","Verne Troyer","Color","bloopers during credits|bucket of popcorn|chastity belt|guru|toronto maple leafs","English",2008,3.8
"In the Name of the King: A Dungeon Siege Tale ","Action|Adventure|Fantasy|Thriller","Uwe Boll","Jason Statham","Mike Dopud","Tania Saulnier","Color","farmer|king|krug|rescue|wizard","English",2007,3.8
"Street Fighter ","Action|Adventure|Comedy|Thriller","Steven E. de Souza","Ming-Na Wen","Raul Julia","Kylie Minogue","Color","guile|hostage|ransom|soldier|united nations","English",1994,3.8
"Furry Vengeance ","Comedy|Family","Roger Kumble","Brendan Fraser","Brooke Shields","Matt Prokop","Color","animal|bear|land developer|real estate|real estate developer","English",2010,3.8
"Dudley Do-Right ","Comedy|Family|Romance","Hugh Wilson","Brendan Fraser","Alex Rocco","Eric Idle","Color","gold|gold rush|mirror|police officer|singer","English",1999,3.8
"Woo ","Comedy|Romance","Daisy von Scherler Mayer","LL Cool J","Jada Pinkett Smith","Dave Chappelle","Color","blind date|law clerk|love|manhattan new york city|world trade center manhattan new york city","English",1998,3.8
"The Devil's Tomb ","Action|Horror|Sci-Fi","Jason Connery","Ray Winstone","Henry Rollins","Jason London","Color","desert|mercenary|priest|scientist|war veteran","English",2009,3.8
"Beastmaster 2: Through the Portal of Time ","Action|Adventure|Fantasy|Sci-Fi","Sylvio Tabet","Michael Berryman","Kari Wuhrer","Marc Singer","Color","beast|beastmaster|psychotronic|sword and sorcery|warrior","English",1991,3.8
"The Haunting of Molly Hartley ","Drama|Horror|Thriller","Mickey Liddell","Jessica Lowndes","Randy Wayne","Haley Bennett","Color","18th birthday|birthday|community center|resurrection|teenager","English",2008,3.8
"Extreme Movie ","Comedy","Adam Jay Epstein","Rich Ceraulo","Denise Boutte","Vanessa Lee Chester","Color","box office flop|female frontal nudity|pink bra and panties|red bra and panties|sex","English",2008,3.8
"Crowsnest ","Action|Horror|Mystery|Thriller","Brenton Spencer","Christie Burke","Victor Zinck Jr.","Chelsey Reist","Color","forest|found footage|lost|murder|road trip","English",2012,3.8
"Doc Holliday's Revenge ","Western","David DeCoteau","William McNamara","Tom Berenger","Randy Jay Burrell","Color","1880s|cowboy|low budget film|shoot out|wild west","English",2014,3.8
"Meet the Deedles ","Comedy|Family","Steve Boyum","Paul Walker","M.C. Gainey","A.J. Langer","Color","accidental kiss|eating a worm|park|worm|yellowstone national park","English",1998,3.9
"RoboCop 3 ","Action|Crime|Sci-Fi|Thriller","Fred Dekker","CCH Pounder","Rip Torn","Mako","Color","android|corporation|ninja|police|robocop","English",1993,3.9
"One Missed Call ","Horror|Mystery","Eric Valette","Johnny Lewis","Jason Beghe","Margaret Cho","Color","death|lifting someone into the air|telephone|telephone call|voice mail","English",2008,3.9
"Prom Night ","Horror|Mystery","Nelson McCormick","Ming-Na Wen","Scott Porter","Collins Pennie","Color","friend|hotel|killer|murder|prom","English",2008,3.9
"Soul Survivors ","Drama|Horror|Mystery|Thriller","Stephen Carpenter","Melissa Sagemiller","Angela Featherstone","Candace Kroslak","Color","car accident|college|ghost|girl in panties|white panties","English",2001,3.9
"Blonde Ambition ","Comedy|Romance","Scott Marshall","Drew Fuller","Drew Waters","Larry Miller","Color","boss|business|career|confidence|female protagonist","English",2007,3.9
"I Got the Hook Up ","Comedy","Michael Martin","Joe Estevez","Master P","Anthony Johnson","Color","friend|obscenity|scam|vacant lot|van","English",1998,3.9
"AWOL-72 ","Thriller","Christian Sesma","Bokeem Woodbine","Brooke Newton","Brett Wagner","Color","police officer|police officer taken hostage","English",2015,3.9
"Go for It! ","Drama|Musical","Carmen Marron","Jossara Jinaro","Aimee Garcia","Rene Rosado","Color","exclamation point in title|imperative in title|punctuation in title|three word title","English",2011,3.9
"Supercapitalist ","Thriller","Simon Yin","Paul Sheehan","Linus Roache","Kathy Uyen","Color","","English",2012,3.9
"The Pet ","Drama|Thriller","D. Stevens","Magi Avila","Pierre Dulat","Summer Napoles","Color","dominance submissiveness|female nudity|human branding|human pet|power exchange","English",2006,3.9
"Treachery ","Drama|Thriller","Travis Romero","Matthew Ziff","Lorraine Ziff","Michael Biehn","Color","panties|white panties","English",2013,3.9
"The Canyons ","Drama|Thriller","Paul Schrader","Nolan Gerard Funk","Gus Van Sant","James Deen","Color","cocaine|homosexual|penis|psychopath|pubic hair","English",2013,3.9
